GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-station-ski,tn.esprit.spring.configs,OpenAPIConfig,0,50,0,0,0,14,0,5,0,5
gestion-station-ski,tn.esprit.spring,GestionStationSkiApplication,5,3,0,0,2,1,1,1,1,1
gestion-station-ski,tn.esprit.spring.services,InstructorServicesImpl,49,9,0,0,9,1,5,1,5,1
gestion-station-ski,tn.esprit.spring.services,SkierServicesImpl,165,18,6,0,34,1,12,1,8,1
gestion-station-ski,tn.esprit.spring.services,PisteServicesImpl,29,6,0,0,6,1,5,1,5,1
gestion-station-ski,tn.esprit.spring.services,RegistrationServicesImpl,205,16,17,0,41,2,14,2,5,2
gestion-station-ski,tn.esprit.spring.services,SubscriptionServicesImpl,136,13,6,0,22,2,11,2,7,2
gestion-station-ski,tn.esprit.spring.services,CourseServicesImpl,24,6,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.entities,Color,0,44,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Skier,83,3,0,0,10,1,17,1,17,1
gestion-station-ski,tn.esprit.spring.entities,TypeSubscription,0,34,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Subscription,85,3,0,0,8,1,12,1,12,1
gestion-station-ski,tn.esprit.spring.entities,TypeCourse,0,34,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Piste,96,3,0,0,21,1,15,1,15,1
gestion-station-ski,tn.esprit.spring.entities,Registration,70,3,0,0,7,1,10,1,10,1
gestion-station-ski,tn.esprit.spring.entities,PisteDTO,53,0,0,0,22,0,11,0,11,0
gestion-station-ski,tn.esprit.spring.entities,Course,73,3,0,0,9,1,15,1,15,1
gestion-station-ski,tn.esprit.spring.entities,Support,0,24,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Instructor,53,3,0,0,7,1,11,1,11,1
gestion-station-ski,tn.esprit.spring.controllers,CourseRestController,19,6,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,RegistrationRestController,25,6,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,PisteRestController,45,6,0,0,7,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,SkierRestController,42,6,0,0,9,1,8,1,8,1
gestion-station-ski,tn.esprit.spring.controllers,InstructorRestController,25,6,0,0,5,1,5,1,5,1
gestion-station-ski,tn.esprit.spring.controllers,SubscriptionRestController,26,6,0,0,5,1,5,1,5,1
